"Order ID","Order ID"
"Date","Date"
"Code","Code"
"Card Type","Card Type"
"Last 4","Last 4"
"Amount","Amount"
"Failed Stripe Orders","Failed Stripe Orders"
"Cannot set Stripe API key","Cannot set Stripe API key"
"Could not retrieve customer","Could not retrieve customer"
"Could not create customer","Could not create customer"
"There was an error validating your card. Please try again.","There was an error validating your card. Please try again."
"Invalid token. Please try again.","Invalid token. Please try again."
"Could not save card","Could not save card"
"Card Type","Card Type"
"Last 4 Digits","Last 4 Digits"
"Expiry Date","Expiry Date"
"Security Checks","Security Checks"
"CVC","CVC"
"Street","Street"
"Zip","Zip"
"Country","Country"
"Failed attempts","Failed attempts"
"View payment in Stripe","View payment in Stripe"
"Card Number","Card Number"
"Choose card","Choose card"
"New card","New card"
"Save card for future purchases","Save card for future purchases"
"My Credit Cards","My Credit Cards"
"You have no saved credit cards.","You have no saved credit cards."
"Could not retrieve card. Please try again.","Could not retrieve card. Please try again."
"Sorry, discover is not currently accepted. Please use a different card.","Sorry, Discover is not currently accepted. Please use a different card."
"Sorry, americanexpress is not currently accepted. Please use a different card.","Sorry, American Express is not currently accepted. Please use a different card."
"Sorry, visa is not currently accepted. Please use a different card.","Sorry, Visa is not currently accepted. Please use a different card."
"Sorry, jcb is not currently accepted. Please use a different card.","Sorry, JCB is not currently accepted. Please use a different card."
"Sorry, dinersclub is not currently accepted. Please use a different card.","Sorry, Diners Club is not currently accepted. Please use a different card."
"Sorry, mastercard is not currently accepted. Please use a different card.","Sorry, MasterCard is not currently accepted. Please use a different card."
